BUSINESS_CLASSIFICATION_CODE|BUSINESS_CLASSIFICATION_DESC
721|Accommodation
5412|Accounting, Tax Preparation, Bookkeeping, and Payroll Services
5223|Activities Related to Credit Intermediation
5313|Activities Related to Real Estate
64303|Activities of venture and development capital companies
926|Administration of Economic Programs
924|Administration of Environmental Quality Programs
925|Administration of Housing Programs, Urban Planning, and Community Development
923|Administration of Human Resource Programs
541611|Administrative Management and General Management Consulting Services
561|Administrative and Support Services
5418|Advertising, Public Relations, and Related Services
5242|Agencies, Brokerages, and Other Insurance Related Activities
481|Air Transportation
621|Ambulatory Health Care Services
7131|Amusement Parks and Arcades
713|Amusement, Gambling, and Recreation Industries
112|Animal Production
315|Apparel Manufacturing
4243|Apparel, Piece Goods, and Notions Merchant Wholesalers
5413|Architectural, Engineering, and Related Services
4411|Automobile Dealers
5321|Automotive Equipment Rental and Leasing
4413|Automotive Parts, Accessories, and Tire Stores
4248|Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers
312|Beverage and Tobacco Product Manufacturing
515|Broadcasting (except Internet)
444|Building Material and Garden Equipment and Supplies Dealers
8139|Business, Professional, Labor, Political, and Similar Organizations
68100|Buying and selling of own real estate
325|Chemical Manufacturing
4246|Chemical and Allied Products Merchant Wholesalers
8134|Civic and Social Organizations
4481|Clothing Stores
448|Clothing and Clothing Accessories Stores
5324|Commercial and Industrial Machinery and Equipment Rental and Leasing
6233|Community Care Facilities for the Elderly
5415|Computer Systems Design and Related Services
334|Computer and Electronic Product Manufacturing
236|Construction of Buildings
5322|Consumer Goods Rental
4921|Couriers and Express Delivery Services
492|Couriers and Messengers
522|Credit Intermediation and Related Activities
111|Crop Production
518|Data Processing, Hosting and Related Services
5221|Depository Credit Intermediation
4543|Direct Selling Establishments
35130|Distribution of electricity
99999|Dormant Company
4242|Drugs and Druggists' Sundries Merchant Wholesalers
611|Educational Services
335|Electrical Equipment, Appliance, and Component Manufacturing
4236|Electrical and Electronic Goods Merchant Wholesalers
4541|Electronic Shopping and Mail-Order Houses
443|Electronics and Appliance Stores
921|Executive, Legislative, and Other General Government Support
332|Fabricated Metal Product Manufacturing
4245|Farm Product Raw Material Merchant Wholesalers
114|Fishing, Hunting and Trapping
311|Food Manufacturing
722|Food Services and Drinking Places
445|Food and Beverage Stores
113|Forestry and Logging
51210|Freight air transport
525|Funds, Trusts, and Other Financial Vehicles
4232|Furniture and Home Furnishing Merchant Wholesalers
442|Furniture and Home Furnishings Stores
337|Furniture and Related Product Manufacturing
7132|Gambling Industries
447|Gasoline Stations
6221|General Medical and Surgical Hospitals
452|General Merchandise Stores
5323|General Rental Centers
8132|Grantmaking and Giving Services
4244|Grocery and Related Product Merchant Wholesalers
4237|Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers
446|Health and Personal Care Stores
237|Heavy and Civil Engineering Construction
6216|Home Health Care Services
622|Hospitals
5241|Insurance Carriers
524|Insurance Carriers and Related Activities
5251|Insurance and Employee Benefit Funds
4483|Jewelry, Luggage, and Leather Goods Stores
922|Justice, Public Order, and Safety Activities
316|Leather and Allied Product Manufacturing
5411|Legal Services
533|Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
5311|Lessors of Real Estate
4922|Local Messengers and Local Delivery
4233|Lumber and Other Construction Materials Merchant Wholesalers
333|Machinery Manufacturing
