TXN_TYPE_CODE|TXN_TYPE_DESC|SCOPE|INSTRUMENT
TT0001|Cash|EXTERNAL|CASH
TT0003|Cheque / Check|EXTERNAL|CHEQUE
TT0004|Credit Card|EXTERNAL|CARD
TT0006|Debit Card|EXTERNAL|CARD
TT0007|Direct Debit|EXTERNAL|WIRE
TT0009|Electronic Transfer|EXTERNAL|WIRE
TT0019|Wire Transfer|EXTERNAL|WIRE
TT0027|Credit Card Settlement|EXTERNAL|OTHER
TT0037|Atm Foreign Currency Purchase|EXTERNAL|CASH
TT0048|Cash Withdrawal|EXTERNAL|CASH
TT0066|Atm Cash Deposit|EXTERNAL|CASH
TT0163|ATM Withdrawal|EXTERNAL|CARD
TT0164|POS Purchase|EXTERNAL|CARD
